Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,69.649002,69.649002,68.475197,182.810303,55.179150,200662321971
2000-01-05,69.649002,71.214104,68.866302,186.918289,56.419083,402466776297
2000-01-06,70.822899,71.214104,69.649002,182.810303,55.179150,197545701266
2000-01-07,67.301300,68.475197,66.518600,177.674973,53.629108,235270327441
2000-01-10,69.649002,70.431396,68.475197,183.837082,55.489059,276171665217
2000-01-11,70.822899,71.605202,68.475197,180.755920,54.559048,277769524211
2000-01-12,69.257500,70.822899,68.866302,185.891479,56.109161,216246790710
2000-01-13,70.822899,70.822899,69.649002,182.810303,55.179150,147490943364
2000-01-14,70.431396,72.387901,70.040199,186.918289,56.419083,288318943138
2000-01-17,74.344398,74.344398,73.170601,192.053558,57.969116,155256929295
2000-01-18,73.170601,73.170601,71.605202,188.972397,57.039097,131648021903
2000-01-19,71.996696,73.170601,71.605202,188.972397,57.039097,134848678139
2000-01-20,71.996696,71.996696,70.822899,186.918289,56.419083,125758111343
2000-01-21,71.214104,72.779099,71.214104,191.026001,57.658947,113397432875
2000-01-24,73.561798,74.735603,73.170601,193.080368,58.279034,175113109994
2000-01-25,75.518303,75.518303,74.344398,198.215683,59.829067,223692131867
2000-01-26,77.865997,80.604797,77.865997,211.566406,63.858818,357880972698
2000-01-27,81.387497,82.561401,79.822502,213.620773,64.478920,287927211066
2000-01-28,78.648300,79.822502,78.648300,209.513062,63.239048,197904796109
2000-01-31,77.474403,79.822502,77.083298,208.485474,62.928894,168059330257
2000-02-01,80.213699,80.213699,78.648300,207.458679,62.618973,153081839313
2000-02-02,49.502701,49.502701,49.502701,129.931580,39.218311,0
2000-02-03,49.502701,49.502701,49.502701,129.931580,39.218311,0
2000-02-04,49.502701,49.502701,49.502701,129.931580,39.218311,0
2000-02-07,49.502701,49.502701,49.502701,129.931580,39.218311,0
2000-02-08,49.502701,49.502701,49.502701,129.931580,39.218311,0
2000-02-09,83.735199,83.735199,80.996399,216.701981,65.408928,252580303002
2000-02-10,81.778702,84.126404,80.996399,219.782883,66.338875,177540530551
2000-02-11,84.909103,86.865601,84.126404,224.918442,67.888992,215027843542
2000-02-14,85.300201,85.300201,83.735199,219.782883,66.338875,140301260499
2000-02-15,83.735199,84.909103,82.952499,220.809677,66.648804,105105240956
2000-02-16,84.126404,84.517502,83.344101,218.756363,66.029030,79352307611
2000-02-17,82.561401,83.344101,82.170197,216.701981,65.408928,116400249909
2000-02-18,82.952499,83.735199,80.996399,213.620773,64.478920,121805081657
2000-02-21,79.431000,79.431000,76.300598,200.268997,60.448841,153902996256
2000-02-22,75.126701,77.474403,74.344398,200.268997,60.448841,168143600435
2000-02-23,76.300598,76.300598,75.518303,199.242218,60.138916,73892579191
2000-02-24,76.300598,77.083298,75.909401,200.268997,60.448841,83371091714
2000-02-25,76.300598,78.257103,76.300598,204.377747,61.689026,165796717040
